Gene Name,Gene Symbol,Entrez Gene ID,Classification
"ATP-binding cassette, sub-family A (ABC1), member 1",ABCA1,19,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 10 ",ABCA10,10349,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 12",ABCA12,26154,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 13",ABCA13,154664,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 2",ABCA2,20,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 3",ABCA3,21,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 4",ABCA4,24,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 5",ABCA5,23461,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 6",ABCA6,23460,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 7",ABCA7,10347,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 8",ABCA8,10351,ABC Transporter
"ATP-binding cassette, sub-family A (ABC1), member 9",ABCA9,10350,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 1",ABCB1,5243,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 10",ABCB10,23456,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 11",ABCB11,8647,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 4",ABCB4,5244,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 5",ABCB5,340273,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 6",ABCB6,10058,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 7",ABCB7,22,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 8",ABCB8,11194,ABC Transporter
"ATP-binding cassette, sub-family B (MDR/TAP), member 9",ABCB9,23457,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",ABCC1,4363,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",ABCC10,89845,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 11",ABCC11,85320,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",ABCC12,94160,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 13",ABCC13,150000,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",ABCC2,1244,ABC Transporter
